SITE_ID,NAME_ENG,DESIG,forest_loss_ha,agriculture_gain_ha,urban_gain_ha,forest_2017_ha,forest_2024_ha,total_area_ha,forest_loss_pct,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
20071,Mitar Nakichenovich,Zona Protectora (ZP),51.69,1.18,11.53,438.24,386.55,613.05,11.79,0.0,0.0,0.0,613.05,100.0,0.0,False
101145,Cerro Vinilla y Cerro Aratitiyope,Monumento Natural (MN),43.24,0.0,0.0,201160.17,201116.93,205192.65,0.02,202.24,38.58,-163.66,205192.65,99.9,0.1,False
555705236,San Pedro del Río,Reserva Nacional Hidraúlica (RNH),41.89,0.0,0.0,239.0,197.11,347.4,17.53,0.0,0.0,0.0,347.4,100.0,0.0,False
30648,De La Tortuga Arrau,Zona Protectora (ZP),35.98,10.34,0.0,6624.54,6588.56,17543.65,0.54,0.05,0.0,-0.05,17543.65,100.0,0.0,False
20079,Cuenca de la Quebrada La Machiri,Zona Protectora (ZP),32.75,0.0,9.76,1325.36,1292.61,1627.86,2.47,82.41,137.63,55.22,1627.86,89.89,10.11,False
67612,Piedra Pintada,Monumento Natural (MN),30.21,0.0,0.0,609.14,578.93,1502.29,4.96,0.01,0.0,-0.01,1502.29,100.0,0.0,False
30646,"Islas e Islotes, Laguna, Cabos y Puntas",Zona Protectora (ZP),26.63,0.0,19.19,54.35,27.72,1462.49,49.0,0.02,0.0,-0.02,1462.49,100.0,0.0,False
4371,Cueva del Guácharo Alejandro de Humboldt,Monumento Natural (MN),25.12,0.0,0.39,657.2,632.08,866.92,3.82,3.39,0.03,-3.36,866.92,99.61,0.39,False
555705280,Area que bordea el estero situado en el Dtto Guanare del Estado Portuguesa,Zona Protectora (ZP),17.54,123.19,3.08,222.72,205.18,848.56,7.88,0.0,0.04,0.04,848.56,100.0,0.0,False
30640,De las Ciudades de San Antonio- Ureña y Aguas Calientes,Zona Protectora (ZP),17.42,1.79,1.41,4847.51,4830.09,6315.2,0.36,0.02,0.0,-0.02,6315.2,100.0,0.0,False
310,Laguna de Las Marites,Monumento Natural (MN),16.3,0.0,8.44,60.23,43.93,2622.88,27.06,0.0,0.0,0.0,2622.88,100.0,0.0,False
20065,Cerro Volcán,Zona Protectora (ZP),14.11,0.0,20.41,352.22,338.11,542.18,4.01,7.64,2.5,-5.14,542.18,98.43,1.57,False
67610,Meseta La Galera,Monumento Natural (MN),11.61,0.0,0.0,27.49,15.88,61.16,42.23,0.04,0.0,-0.04,61.16,99.93,0.07,False
30641,La Pereza,Zona Protectora (ZP),7.92,0.0,6.43,150.68,142.76,291.59,5.26,37.7,0.47,-37.23,291.59,88.53,11.47,True
4363,Laguna de Urao,Monumento Natural (MN),5.63,0.0,0.0,13.78,8.15,44.51,40.86,0.0,0.0,0.0,44.51,100.0,0.0,False
555705271,Playa Norte,Zona Protectora (ZP),5.3,0.0,3.74,211.62,206.32,288.35,2.5,0.1,0.0,-0.1,288.35,99.97,0.03,False
67611,Piedra La Tortuga,Monumento Natural (MN),5.07,17.56,0.0,86.21,81.14,468.86,5.88,0.0,0.0,0.0,468.86,100.0,0.0,False
20066,Distrito Guaicaipuro  (Los Teques),Zona Protectora (ZP),4.87,10.19,5.92,704.85,699.98,1376.76,0.69,36.12,0.71,-35.41,1376.76,97.41,2.59,False
4369,Morros de Macaira,Monumento Natural (MN),3.99,0.0,0.0,81.15,77.16,82.75,4.92,0.44,0.0,-0.44,82.75,99.47,0.53,False
4373,Piedra de Cocuy,Monumento Natural (MN),0.12,0.0,0.0,1097.32,1097.2,1101.35,0.01,0.0,0.0,0.0,1101.35,100.0,0.0,False
4370,"Cueva ""Alfredo Jahn""",Monumento Natural (MN),0.01,0.0,0.0,53.12,53.11,53.12,0.02,0.0,0.0,0.0,53.12,100.0,0.0,False
555705242,Montecano,Monumento Natural (MN),0.0,140.5,0.0,691.64,1026.89,2575.1,0.0,0.0,0.0,0.0,2575.1,100.0,0.0,False
101149,Cerro Tamacuari y Serranía Tapirapecó,Monumento Natural (MN),0.0,0.0,0.0,128458.09,128476.88,128608.42,0.0,3181.72,825.06,-2356.66,128608.42,97.39,2.61,False
101142,Sierra Unturán,Monumento Natural (MN),0.0,0.0,0.0,355937.9,356017.03,358372.14,0.0,1731.67,157.91,-1573.76,358372.14,99.49,0.51,False
101146,Sierra Maigualida,Monumento Natural (MN),0.0,0.0,2.78,1775479.26,1778953.33,1808689.13,0.0,235060.93,4654.63,-230406.3,1808689.13,88.47,11.53,True
101147,Cerro Venamo,Monumento Natural (MN),0.0,0.0,0.0,3421.71,3467.97,5611.63,0.0,0.05,1.16,1.11,5611.63,99.98,0.02,False
101148,Cerro Yaví,Monumento Natural (MN),0.0,0.01,0.0,17288.3,17358.95,26950.68,0.0,241.35,87.19,-154.16,26950.68,98.99,1.01,False
4374,Chorreras Las González,Monumento Natural (MN),0.0,0.0,0.0,120.18,122.53,130.45,0.0,0.0,0.0,0.0,130.45,100.0,0.0,False
19280,Loma de León,Monumento Natural (MN),0.0,0.64,55.19,675.55,936.83,7660.71,0.0,0.61,0.0,-0.61,7660.71,99.99,0.01,False
4372,Cerro Autana,Monumento Natural (MN),0.0,0.0,0.0,9075.76,9076.7,9080.82,0.0,0.96,8.08,7.12,9080.82,99.9,0.1,False
101138,Cerro Ichum y Cerro Guanacoco,Monumento Natural (MN),0.0,0.0,0.05,957027.7,957858.37,961596.68,0.0,19615.71,3020.33,-16595.38,961596.68,97.92,2.08,False
308,Las Tetas de María Guevara,Monumento Natural (MN),0.0,0.0,0.0,2.99,4.47,1494.49,0.0,0.0,0.0,0.0,1494.49,100.0,0.0,False
309,Cerro Santa Ana,Monumento Natural (MN),0.0,0.0,0.0,326.62,343.49,1975.09,0.0,1.21,0.0,-1.21,1975.09,99.94,0.06,False
101150,Abra Río Frío,Monumento Natural (MN),0.0,0.18,0.0,1136.14,1202.58,1326.98,0.0,0.0,0.0,0.0,1326.98,100.0,0.0,False
555705240,Cadena de Tepuyes Orientales: Llu (Tramen) Tepuy. Karaurín Tepuy. Uei Tepuy. Yuruaní Tepuy. Kukenán (Mataui) Tepuy. Wadakapiapué Tepuy.,Monumento Natural (MN),0.0,13.12,0.04,56094.36,56099.88,140453.71,0.0,3500.15,550.87,-2949.28,140453.71,97.56,2.44,False
317,Yapacana,Parque Nacional (PN),0.0,0.0,218.54,222109.68,223399.25,268540.16,0.0,37.04,102.93,65.89,268540.16,99.95,0.05,False
322,"Páramos de Tamá, Cobre y Judio",Parque Nacional (PN),0.0,62.88,0.0,103202.23,104272.78,118472.83,0.0,6665.36,14820.02,8154.66,118472.83,87.26,12.74,True
331,Laguna de Tacarigua,Parque Nacional (PN),0.0,12.91,2.86,7995.92,8170.38,18924.09,0.0,0.0,0.0,0.0,18924.09,100.0,0.0,False
328,Península de Paria,Parque Nacional (PN),0.0,0.0,0.03,31787.23,32776.12,33144.74,0.0,1695.67,32.15,-1663.52,33144.74,95.1,4.9,False
10785,Turén,Reserva Forestal (RF),0.0,440.53,114.27,7726.49,8929.83,96932.19,0.0,0.0,0.0,0.0,96932.19,100.0,0.0,False
2247,Morrocoy,Parque Nacional (PN),0.0,0.0,38.24,4481.9,4488.57,8577.84,0.0,1.07,0.42,-0.65,8577.84,99.98,0.02,False
2245,Archipiélago Los Roques,Parque Nacional (PN),0.0,0.0,3.79,109.47,161.46,5624.08,0.0,0.01,0.0,-0.01,5624.08,100.0,0.0,False
4366,Duida - Marahuaca,Parque Nacional (PN),0.0,0.0,0.0,375332.61,376130.8,384085.84,0.0,20961.42,14855.84,-6105.58,384085.84,94.08,5.92,False
19284,Juan Crisóstomo Falcón en la Sierra de San Luis,Parque Nacional (PN),0.0,0.0,1.01,18991.0,19050.16,19157.03,0.0,69.68,1.06,-68.62,19157.03,99.63,0.37,False
15135,General Cruz Carrillo en Guaramacal,Parque Nacional (PN),0.0,0.0,0.0,17434.01,17473.83,17704.93,0.0,3385.48,3553.41,167.93,17704.93,75.18,24.82,False
19286,Santos Luzardo,Parque Nacional (PN),0.0,13470.38,0.0,66433.06,71381.21,561807.18,0.0,2.11,0.0,-2.11,561807.18,100.0,0.0,False
30024,Turuépano,Parque Nacional (PN),0.0,0.43,0.0,47290.44,49246.24,72071.95,0.0,0.48,0.0,-0.48,72071.95,100.0,0.0,False
30638,Del Área Metropolitana de Maracaibo,Zona Protectora (ZP),0.0,0.0,0.0,2310.09,2810.42,20912.24,0.0,0.13,0.02,-0.11,20912.24,100.0,0.0,False
30637,De la Ciudad de Coro,Zona Protectora (ZP),0.0,0.0,0.0,4038.62,5093.23,19620.47,0.0,0.0,0.0,0.0,19620.47,100.0,0.0,False
20093,Valle del Quíbor,Reserva Nacional Hidraúlica (RNH),0.0,475.08,679.48,829.4,1864.98,62558.34,0.0,0.0,0.0,0.0,62558.34,100.0,0.0,False
20090,Cuenca Hidrográfica del Río Capravera,Reserva Nacional Hidraúlica (RNH),0.0,0.0,0.0,741.24,821.46,3206.91,0.0,0.0,0.0,0.0,3206.91,100.0,0.0,False
555705277,Isla Cubagua,Reserva Forestal (RF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
20087,Distrito Páez del Estado Apure,Reserva Nacional Hidraúlica (RNH),0.0,34.79,0.69,41425.67,42088.46,47177.53,0.0,1384.03,2405.41,1021.38,47177.53,93.82,6.18,False
20089,Cuenca del Río Sanchón,Reserva Nacional Hidraúlica (RNH),0.0,0.0,0.0,8525.82,8541.72,8543.19,0.0,56.29,0.05,-56.24,8543.19,99.34,0.66,False
555705235,Aguas Calientes,Reserva Nacional Hidraúlica (RNH),0.0,0.0,23.39,1266.09,1367.32,2836.21,0.0,0.0,0.0,0.0,2836.21,100.0,0.0,False
555705278,Área situada en el Dtto Guanare del Estado Portuguesa,Zona Protectora (ZP),0.0,293.28,0.5,288.46,342.49,1218.75,0.0,0.0,0.0,0.0,1218.75,100.0,0.0,False
555705279,Área que bordea la Laguna situada en el Dtto Guanare del Estado Portuguesa,Zona Protectora (ZP),0.0,218.29,4.87,177.68,209.79,1181.67,0.0,0.0,0.0,0.0,1181.67,100.0,0.0,False
101087,Merejina,Área Boscosa Bajo Protección (ABBP),0.0,0.0,0.0,267706.62,268412.01,302245.27,0.0,38.32,0.53,-37.79,302245.27,99.99,0.01,False
101162,Cuenca Hidrográfica del Río Capravera,Zona Protectora (ZP),0.0,0.0,0.0,741.21,821.46,3206.8,0.0,0.0,0.0,0.0,3206.8,100.0,0.0,False
555705268,Embalse Mapara,Zona Protectora (ZP),0.0,0.0,0.0,2321.56,3078.62,12538.94,0.0,0.0,0.0,0.0,12538.94,100.0,0.0,False
555705266,Área Metropolitana Barcelona - Pto. La Cruz - Guanta,Zona Protectora (ZP),0.0,0.0,0.0,11417.55,11864.76,16639.91,0.0,0.0,0.0,0.0,16639.91,100.0,0.0,False
555705270,"Cuenca de los Ríos Escalante y Orope (Zona Sur del Lago de Maracaibo, Artìculo 3, Numeral 2)",Zona Protectora (ZP),0.0,0.0,601.33,131053.68,131159.9,247618.51,0.0,34255.33,18237.17,-16018.16,247618.51,86.98,13.02,True
555705272,"Río Umuquena (Zona Sur del Lago de Maracaibo, Artìculo 3, Numeral 1)",Zona Protectora (ZP),0.0,0.0,23.74,7849.79,8771.26,25739.91,0.0,4.64,0.0,-4.64,25739.91,99.98,0.02,False
101165,Laguna Blanca o del Morro,Zona Protectora (ZP),0.0,0.0,1.45,7.69,10.07,130.01,0.0,0.0,0.0,0.0,130.01,100.0,0.0,False
101117,Río Tarra,Área Boscosa Bajo Protección (ABBP),0.0,46.86,32.69,36286.96,37253.49,61811.24,0.0,17.7,1.72,-15.98,61811.24,99.97,0.03,False
101115,Río Aricuaisá,Área Boscosa Bajo Protección (ABBP),0.0,0.0,0.0,6913.61,8429.3,15604.52,0.0,0.38,0.0,-0.38,15604.52,100.0,0.0,False
101105,Libertad,Área Boscosa Bajo Protección (ABBP),0.0,0.0,0.0,9390.63,10398.94,39533.76,0.0,0.0,0.0,0.0,39533.76,100.0,0.0,False
101118,El Amparo,Área Boscosa Bajo Protección (ABBP),0.0,256.64,0.0,15547.2,17069.13,39196.2,0.0,0.0,0.0,0.0,39196.2,100.0,0.0,False
101123,Río Arauca - Güere,Área Boscosa Bajo Protección (ABBP),0.0,3.13,0.0,18155.09,19080.18,25724.01,0.0,0.0,0.0,0.0,25724.01,100.0,0.0,False
101125,Río Tucuco,Área Boscosa Bajo Protección (ABBP),0.0,0.0,0.0,17119.36,19545.56,32306.33,0.0,3.33,0.0,-3.33,32306.33,99.99,0.01,False
555705221,Río Apure - Caparo,Área Boscosa Bajo Protección (ABBP),0.0,0.17,0.62,3512.54,3661.81,19096.72,0.0,0.0,0.0,0.0,19096.72,100.0,0.0,False
