class_id,class_name,pixels,area_km2,area_ha,pct,year
1,Water,163267121,16326.7121,1632671.21,1.81,2017
2,Trees,5532733701,553273.3701,55327337.01,61.25,2017
4,Flooded vegetation,125317678,12531.7678,1253176.78,1.39,2017
5,Crops,157810655,15781.0655,1578106.55,1.75,2017
7,Built area,80450657,8045.0657,804506.57,0.89,2017
8,Bare ground,25128784,2512.8784,251287.84,0.28,2017
9,Snow/Ice,17781,1.7781,177.81,0.0,2017
10,Clouds,98211199,9821.1199,982111.99,,2017
11,Rangeland,2948808418,294880.8418,29488084.18,32.64,2017
