SITE_ID,NAME_ENG,DESIG,DESIG_ENG,IUCN_CAT,STATUS_YR,GIS_AREA,GIS_M_AREA,layer_name,source,class_id,class_name,pixels,area_m2,area_ha,area_km2,pct_of_zone
311,Cerros Matasiete y Guayamurí,Monumento Natural (MN),Natural Monument (MN),III,1974,16.463870264758,0.0,monumento_natural_(mn),change,10,Clouds,1,100,0.01,0.0001,0.0006073673661514166
311,Cerros Matasiete y Guayamurí,Monumento Natural (MN),Natural Monument (MN),III,1974,16.463870264758,0.0,monumento_natural_(mn),change,11,Rangeland,26592,2659200,265.92,2.6592000000000002,16.151113000698473
4363,Laguna de Urao,Monumento Natural (MN),Natural Monument (MN),III,1979,0.445487454615316,0.0,monumento_natural_(mn),change,0,No data,2630,263000,26.3,0.263,59.08784542799371
4363,Laguna de Urao,Monumento Natural (MN),Natural Monument (MN),III,1979,0.445487454615316,0.0,monumento_natural_(mn),change,1,Water,1420,142000,14.200000000000001,0.14200000000000002,31.902943158840706
4363,Laguna de Urao,Monumento Natural (MN),Natural Monument (MN),III,1979,0.445487454615316,0.0,monumento_natural_(mn),change,2,Trees,119,11900,1.19,0.0119,2.673556504156369
4363,Laguna de Urao,Monumento Natural (MN),Natural Monument (MN),III,1979,0.445487454615316,0.0,monumento_natural_(mn),change,7,Built area,268,26800,2.68,0.0268,6.021118849696697
4363,Laguna de Urao,Monumento Natural (MN),Natural Monument (MN),III,1979,0.445487454615316,0.0,monumento_natural_(mn),change,8,Bare ground,12,1200,0.12,0.0012000000000000001,0.26960233655358345
4363,Laguna de Urao,Monumento Natural (MN),Natural Monument (MN),III,1979,0.445487454615316,0.0,monumento_natural_(mn),change,11,Rangeland,2,200,0.02,0.0002,0.044933722758930573
4369,Morros de Macaira,Monumento Natural (MN),Natural Monument (MN),III,1978,0.833342224691378,0.0,monumento_natural_(mn),change,0,No data,7708,770800,77.08,0.7708,92.65536723163842
4369,Morros de Macaira,Monumento Natural (MN),Natural Monument (MN),III,1978,0.833342224691378,0.0,monumento_natural_(mn),change,2,Trees,60,6000,0.6,0.006,0.721240533717995
4369,Morros de Macaira,Monumento Natural (MN),Natural Monument (MN),III,1978,0.833342224691378,0.0,monumento_natural_(mn),change,7,Built area,50,5000,0.5,0.005,0.6010337780983291
4369,Morros de Macaira,Monumento Natural (MN),Natural Monument (MN),III,1978,0.833342224691378,0.0,monumento_natural_(mn),change,11,Rangeland,501,50100,5.01,0.050100000000000006,6.022358456545258
4370,"Cueva ""Alfredo Jahn""",Monumento Natural (MN),Natural Monument (MN),III,1978,0.531114543176804,0.0,monumento_natural_(mn),change,0,No data,5311,531100,53.11,0.5311,99.98117469879519
4370,"Cueva ""Alfredo Jahn""",Monumento Natural (MN),Natural Monument (MN),III,1978,0.531114543176804,0.0,monumento_natural_(mn),change,11,Rangeland,1,100,0.01,0.0001,0.01882530120481928
