SITE_ID,total_pixels,cloud_2017_pixels,cloud_2024_pixels,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_pixels,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
19287,795811,2100,0,21.0,0.0,-21.0,793711,7937.110000000001,99.74,0.26,False
19290,273452,0,0,0.0,0.0,0.0,273452,2734.52,100.0,0.0,False
20054,4558208,16343,3179,163.43,31.79,-131.64000000000001,4538968,45389.68,99.58,0.42,False
20065,55081,764,250,7.640000000000001,2.5,-5.14,54218,542.1800000000001,98.43,1.57,False
20066,141343,3612,71,36.12,0.71,-35.410000000000004,137676,1376.76,97.41,2.59,False
20067,64947421,699298,241024,6992.9800000000005,2410.2400000000002,-4582.74,64207294,642072.9400000001,98.86,1.14,False
20068,25674192,16425,0,164.25,0.0,-164.25,25657767,256577.67,99.94,0.06,False
20069,27353264,16800,11,168.0,0.11,-167.89000000000001,27336453,273364.53,99.94,0.06,False
20070,50943331,84076,7324,840.76,73.24,-767.52,50853540,508535.4,99.82,0.18,False
20071,61305,0,0,0.0,0.0,0.0,61305,613.0500000000001,100.0,0.0,False
20072,2590310,10556,51927,105.56,519.27,413.71000000000004,2528865,25288.65,97.63,2.37,False
20073,15377314,91631,2070,916.3100000000001,20.7,-895.61,15284031,152840.31,99.39,0.61,False
20074,10084654,312,222,3.12,2.22,-0.9,10084120,100841.2,99.99,0.01,False
20076,25920939,1884,7,18.84,0.07,-18.77,25919048,259190.48,99.99,0.01,False
20077,52405842,279322,23222,2793.2200000000003,232.22,-2561.0,52108981,521089.81,99.43,0.57,False
20078,42453077,837188,864112,8371.880000000001,8641.12,269.24,41059102,410591.02,96.72,3.28,False
20079,181104,8241,13763,82.41,137.63,55.22,162786,1627.8600000000001,89.89,10.11,False
20081,36719264,277436,246058,2774.36,2460.58,-313.78000000000003,36292355,362923.55,98.84,1.16,False
20082,1255937,53948,87504,539.48,875.04,335.56,1161010,11610.1,92.44,7.56,False
20083,2789725,5931,8798,59.31,87.98,28.67,2775700,27757.0,99.5,0.5,False
20084,2810660,5161,525,51.61,5.25,-46.36,2804988,28049.88,99.8,0.2,False
20086,1100115,349,1,3.49,0.01,-3.48,1099765,10997.65,99.97,0.03,False
20087,5028488,138403,240541,1384.03,2405.41,1021.38,4717753,47177.53,93.82,6.18,False
20088,90044474,4030580,2119627,40305.8,21196.27,-19109.53,85687273,856872.73,95.16,4.84,False
20089,859953,5629,5,56.29,0.05,-56.24,854319,8543.19,99.34,0.66,False
20090,320691,0,0,0.0,0.0,0.0,320691,3206.91,100.0,0.0,False
20091,18986086,23051,3923,230.51,39.230000000000004,-191.28,18959322,189593.22,99.86,0.14,False
20092,19587754,1,0,0.01,0.0,-0.01,19587753,195877.53,100.0,0.0,False
20093,6255834,0,0,0.0,0.0,0.0,6255834,62558.340000000004,100.0,0.0,False
20095,21074,278,0,2.7800000000000002,0.0,-2.7800000000000002,20796,207.96,98.68,1.32,False
20096,587927,9673,19,96.73,0.19,-96.54,578238,5782.38,98.35,1.65,False
30023,16891837,9290,93,92.9,0.93,-91.97,16882463,168824.63,99.94,0.06,False
30024,7207243,48,0,0.48,0.0,-0.48,7207195,72071.95,100.0,0.0,False
30026,390570862,1317900,59351,13179.0,593.51,-12585.49,389223747,3892237.47,99.66,0.34,False
30027,1178219,15821,1194,158.21,11.94,-146.27,1161786,11617.86,98.61,1.39,False
30031,1663622,88914,192311,889.14,1923.1100000000001,1033.97,1424685,14246.85,85.64,14.36,True
30032,3617851,248,0,2.48,0.0,-2.48,3617603,36176.03,99.99,0.01,False
30033,20129234,1250253,419365,12502.53,4193.65,-8308.880000000001,18787471,187874.71,93.33,6.67,False
30634,1053364,1548,25,15.48,0.25,-15.23,1051791,10517.91,99.85,0.15,False
30635,10322818,36334,302,363.34000000000003,3.02,-360.32,10286294,102862.94,99.65,0.35,False
30636,4176070,483,123,4.83,1.23,-3.6,4175464,41754.64,99.99,0.01,False
30637,1962047,0,0,0.0,0.0,0.0,1962047,19620.47,100.0,0.0,False
30638,2091239,13,2,0.13,0.02,-0.11,2091224,20912.24,100.0,0.0,False
30639,1916301,101,69,1.01,0.6900000000000001,-0.32,1916131,19161.31,99.99,0.01,False
30640,631522,2,0,0.02,0.0,-0.02,631520,6315.2,100.0,0.0,False
30641,32937,3770,47,37.7,0.47000000000000003,-37.230000000000004,29159,291.59000000000003,88.53,11.47,True
30643,632229,0,0,0.0,0.0,0.0,632229,6322.29,100.0,0.0,False
30644,220673,0,0,0.0,0.0,0.0,220673,2206.73,100.0,0.0,False
30645,282697,2878,251,28.78,2.5100000000000002,-26.27,279692,2796.92,98.94,1.06,False
30646,146251,2,0,0.02,0.0,-0.02,146249,1462.49,100.0,0.0,False
30647,4562734,564787,57458,5647.87,574.58,-5073.29,3992522,39925.22,87.5,12.5,True
30648,1754370,5,0,0.05,0.0,-0.05,1754365,17543.65,100.0,0.0,False
32731,11478801,184881,42274,1848.81,422.74,-1426.07,11261328,112613.28,98.11,1.89,False
32732,4602679,981,0,9.81,0.0,-9.81,4601698,46016.98,99.98,0.02,False
32733,5832880,176,25,1.76,0.25,-1.51,5832679,58326.79,100.0,0.0,False
61899,4107959,1833,2,18.330000000000002,0.02,-18.31,4106125,41061.25,99.96,0.04,False
67610,6120,4,0,0.04,0.0,-0.04,6116,61.160000000000004,99.93,0.07,False
67611,46886,0,0,0.0,0.0,0.0,46886,468.86,100.0,0.0,False
67612,150230,1,0,0.01,0.0,-0.01,150229,1502.29,100.0,0.0,False
67614,1578806,48795,42489,487.95,424.89,-63.06,1489694,14896.94,94.36,5.64,False
67615,9029161,7172,178,71.72,1.78,-69.94,9021869,90218.69,99.92,0.08,False
101086,221723,756,0,7.5600000000000005,0.0,-7.5600000000000005,220967,2209.67,99.66,0.34,False
101087,30228411,3832,53,38.32,0.53,-37.79,30224527,302245.27,99.99,0.01,False
101088,2012419,0,0,0.0,0.0,0.0,2012419,20124.19,100.0,0.0,False
101089,9716285,0,0,0.0,0.0,0.0,9716285,97162.85,100.0,0.0,False
101090,4367620,0,0,0.0,0.0,0.0,4367620,43676.200000000004,100.0,0.0,False
101091,4143904,1,0,0.01,0.0,-0.01,4143903,41439.03,100.0,0.0,False
101093,16552406,3711,0,37.11,0.0,-37.11,16548695,165486.95,99.98,0.02,False
101097,9054404,6,0,0.06,0.0,-0.06,9054398,90543.98,100.0,0.0,False
101099,14840988,76,0,0.76,0.0,-0.76,14840912,148409.12,100.0,0.0,False
101100,9880770,352,0,3.52,0.0,-3.52,9880418,98804.18000000001,100.0,0.0,False
101102,11696406,820,8,8.2,0.08,-8.120000000000001,11695583,116955.83,99.99,0.01,False
101103,6869566,38804,65,388.04,0.65,-387.39,6830706,68307.06,99.43,0.57,False
101104,6831671,3274,205,32.74,2.05,-30.69,6828193,68281.93000000001,99.95,0.05,False
101105,3953376,0,0,0.0,0.0,0.0,3953376,39533.76,100.0,0.0,False
101106,5479457,38,0,0.38,0.0,-0.38,5479419,54794.19,100.0,0.0,False
101107,12075534,0,0,0.0,0.0,0.0,12075534,120755.34,100.0,0.0,False
101108,1373908,33,0,0.33,0.0,-0.33,1373875,13738.75,100.0,0.0,False
101109,8100479,245,0,2.45,0.0,-2.45,8100234,81002.34,100.0,0.0,False
101110,333651,0,0,0.0,0.0,0.0,333651,3336.51,100.0,0.0,False
101111,22250005,688,0,6.88,0.0,-6.88,22249317,222493.17,100.0,0.0,False
101112,939888,18,0,0.18,0.0,-0.18,939870,9398.7,100.0,0.0,False
101113,9319852,970,0,9.700000000000001,0.0,-9.700000000000001,9318882,93188.82,99.99,0.01,False
101114,3729446,508,0,5.08,0.0,-5.08,3728938,37289.38,99.99,0.01,False
101115,1560490,38,0,0.38,0.0,-0.38,1560452,15604.52,100.0,0.0,False
101116,61348850,312418,22261,3124.1800000000003,222.61,-2901.57,61027755,610277.55,99.48,0.52,False
101117,6183061,1770,172,17.7,1.72,-15.98,6181124,61811.24,99.97,0.03,False
101118,3919620,0,0,0.0,0.0,0.0,3919620,39196.200000000004,100.0,0.0,False
101119,9883949,1003,0,10.03,0.0,-10.03,9882946,98829.46,99.99,0.01,False
101120,4287134,1841,7,18.41,0.07,-18.34,4285286,42852.86,99.96,0.04,False
101121,25380692,14015,3,140.15,0.03,-140.12,25366674,253666.74000000002,99.94,0.06,False
101122,1601646,840,23,8.4,0.23,-8.17,1600783,16007.83,99.95,0.05,False
101123,2572401,0,0,0.0,0.0,0.0,2572401,25724.010000000002,100.0,0.0,False
101124,5368130,302,0,3.02,0.0,-3.02,5367828,53678.28,99.99,0.01,False
101125,3230966,333,0,3.33,0.0,-3.33,3230633,32306.33,99.99,0.01,False
101126,1301807,0,0,0.0,0.0,0.0,1301807,13018.07,100.0,0.0,False
101127,7271818,4600,155,46.0,1.55,-44.45,7267091,72670.91,99.93,0.07,False
101128,1864806,11,0,0.11,0.0,-0.11,1864795,18647.95,100.0,0.0,False
101129,830191,265848,20491,2658.48,204.91,-2453.57,561980,5619.8,67.69,32.31,True
101130,3925311,739,0,7.390000000000001,0.0,-7.390000000000001,3924572,39245.72,99.98,0.02,False
