SITE_ID,NAME_ENG,DESIG,layer_name,class_id,class_name,area_ha_2017,area_ha_2024,area_km2_2017,area_km2_2024,area_m2_2017,area_m2_2024,pct_of_zone_2017,pct_of_zone_2024,pixels_2017,pixels_2024,delta_area_ha,delta_pct_points,relative_change_pct
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),1,Water,988.31,978.33,9.8831,9.7833,9883100,9783300,2.2071595843087124,2.184871584944746,98831,97833,-9.979999999999905,-0.022287999363966193,-1.0098046159605696
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),2,Trees,28804.81,27962.46,288.04810000000003,279.6246,288048100,279624600,64.32881632857246,62.44762431812792,2880481,2796246,-842.3500000000022,-1.8811920104445363,-2.9243379838297914
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,0.43,1.65,0.0043,0.0165,4300,16500,0.0009603045818141,0.0036848896744031,43,165,1.22,0.002724585092589,283.72093023255815
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),5,Crops,5.54,3.97,0.0554,0.0397,55400,39700,0.0123722962401172,0.0088660678832609,554,397,-1.5699999999999998,-0.0035062283568563,-28.339350180505413
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),7,Built area,631.84,619.92,6.3184000000000005,6.1992,6318400,6199200,1.411067085984779,1.384446549670303,63184,61992,-11.920000000000073,-0.02662053631447603,-1.8865535578627615
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,392.96,254.39,3.9296,2.5439000000000003,3929600,2543900,0.8775843917899765,0.5681206571341921,39296,25439,-138.57,-0.30946373465578436,-35.26313110749186
324,Mochima,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,13953.57,14956.74,139.53570000000002,149.56740000000002,139535700,149567400,31.162040008522148,33.40238593256518,1395357,1495674,1003.1700000000001,2.2403459240430337,7.189342942343788
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),1,Water,1019.81,989.67,10.1981,9.8967,10198100,9896700,0.8630030383366596,0.837497393583748,101981,98967,-30.139999999999986,-0.025505644752911616,-2.955452486247437
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),2,Trees,114277.56,110306.75,1142.7756000000002,1103.0675,1142775600,1103067500,96.70613299898991,93.3458785450646,11427756,11030675,-3970.8099999999977,-3.3602544539253216,-3.4747066703209253
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,51.81,29.16,0.5181,0.2916,518100,291600,0.0438436448124869,0.0246763304908728,5181,2916,-22.650000000000002,-0.019167314321614098,-43.717429067747545
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),5,Crops,0.9,0.0,0.009,0.0,9000,0,0.0007616151386071,0.0,90,0,-0.9,-0.0007616151386071,-100.0
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),7,Built area,7.29,9.33,0.0729,0.0933,72900,93300,0.0061690826227182,0.0078954102702278,729,933,2.04,0.0017263276475096003,27.983539094650205
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,198.02,0.01,1.9802,0.0001,1980200,100,0.1675722552744387,8.462390428968725e-06,19802,1,-198.01000000000002,-0.16756379288400972,-99.99495000505
325,Guatopo,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,2614.53,6835.0,26.1453,68.35000000000001,26145300,68350000,2.2125173648251604,5.784043858200124,261453,683500,4220.469999999999,3.5715264933749635,161.42365931926577
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),1,Water,8.01,3.18,0.0801,0.0318,80100,31800,0.0100080151582072,0.0039732195010111,801,318,-4.83,-0.0060347956571960995,-60.2996254681648
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),2,Trees,77722.51,74940.66,777.2251,749.4066,777225100,749406600,97.10962025142484,93.63386532410163,7772251,7494066,-2781.8499999999913,-3.4757549273232087,-3.5792076195171663
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,0.04,0.0,0.0004,0.0,400,0,4.997760378630326e-05,0.0,4,0,-0.04,-4.997760378630326e-05,-100.0
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),5,Crops,0.68,0.18,0.0068,0.0018,6800,1800,0.0008496192643671,0.0002248992170383,68,18,-0.5,-0.0006247200473288,-73.52941176470587
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),7,Built area,1082.24,1386.16,10.8224,13.8616,10822400,13861600,1.352194048042221,1.731923881610553,108224,138616,303.9200000000001,0.3797298335683321,28.082495564754588
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,42.57,6.63,0.4257,0.0663,425700,66300,0.0531886648295732,0.0082837878275797,4257,663,-35.94,-0.0449048770019935,-84.42565186751233
327,Waraira Repano,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,1179.8,3699.04,11.798,36.9904,11798000,36990400,1.4740894236770148,4.62172888774218,117980,369904,2519.24,3.1476394640651657,213.5311069672826
328,Península de Paria,Parque Nacional (PN),parque_nacional_(pn),1,Water,166.56,168.73,1.6656,1.6873,1665600,1687300,0.50252317562304,0.5090702174764382,16656,16873,2.1699999999999875,0.006547041853398161,1.3028338136407227
328,Península de Paria,Parque Nacional (PN),parque_nacional_(pn),2,Trees,31787.23,32776.12,317.8723,327.76120000000003,317872300,327761200,95.9042973334532,98.8878476645163,3178723,3277612,988.890000000003,2.9835503310630997,3.110966259092104
328,Península de Paria,Parque Nacional (PN),parque_nacional_(pn),7,Built area,0.0,0.03,0.0,0.0003,0,300,0.0,9.051209935573488e-05,0,3,0.03,9.051209935573488e-05,
328,Península de Paria,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,1148.21,0.0,11.4821,0.0,11482100,0,3.464229920041612,0.0,114821,0,-1148.21,-3.464229920041612,-100.0
328,Península de Paria,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,42.74,199.86,0.4274,1.9986,427400,1998600,0.1289495708821369,0.6029916059079057,4274,19986,157.12,0.4740420350257688,367.6181562938699
330,Yurubí,Parque Nacional (PN),parque_nacional_(pn),1,Water,1.72,1.74,0.0172,0.0174,17200,17400,0.0072974615016478,0.0073823157051554,172,174,0.020000000000000018,8.485420350760019e-05,1.1627906976744196
330,Yurubí,Parque Nacional (PN),parque_nacional_(pn),2,Trees,23220.11,23110.65,232.20110000000005,231.1065,232201100,231106500,98.51619697036551,98.0517899145688,2322011,2311065,-109.45999999999913,-0.4644070557967126,-0.4714017289323742
330,Yurubí,Parque Nacional (PN),parque_nacional_(pn),5,Crops,3.3200000000000003,0.58,0.0332,0.0058,33200,5800,0.0140857977822505,0.0024607719017184,332,58,-2.74,-0.0116250258805321,-82.53012048192771
330,Yurubí,Parque Nacional (PN),parque_nacional_(pn),7,Built area,4.94,11.48,0.0494,0.1148,49400,114800,0.0209589882663607,0.0487063128133241,494,1148,6.54,0.0277473245469634,132.38866396761134
330,Yurubí,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,1.39,0.0,0.0139,0.0,13900,0,0.0058973671437735,0.0,139,0,-1.39,-0.0058973671437735,-100.0
330,Yurubí,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,338.36,445.39,3.3836,4.4539,3383600,4453900,1.4355634149404493,1.8896606850110145,33836,44539,107.02999999999997,0.4540972700705652,31.631989596879055
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),1,Water,5316.61,5446.0,53.1661,54.46,53166100,54460000,28.09440242569127,28.77813411371432,531661,544600,129.39000000000033,0.6837316880230482,2.433693650653336
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),2,Trees,7995.92,8170.38,79.95920000000001,81.7038,79959200,81703800,42.25259972870558,43.17449346309387,799592,817038,174.46000000000004,0.9218937343882843,2.1818627500025016
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,5008.89,4702.37,50.0889,47.023700000000005,50088900,47023700,26.4683268785976,24.84859245543643,500889,470237,-306.52000000000044,-1.6197344231611694,-6.119519494339073
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),5,Crops,4.5600000000000005,17.47,0.0456,0.1747,45600,174700,0.0240962709435433,0.0923161959174787,456,1747,12.909999999999998,0.06821992497393539,283.11403508771923
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),7,Built area,35.51,38.37,0.3551,0.3837,355100,383700,0.1876444257029003,0.2027574377420525,3551,3837,2.8599999999999994,0.01511301203915219,8.054069276260208
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,8.85,4.12,0.0885,0.0412,88500,41200,0.0467657890022717,0.0217711921682892,885,412,-4.7299999999999995,-0.0249945968339825,-53.44632768361581
331,Laguna de Tacarigua,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,553.75,545.38,5.5375000000000005,5.4538,5537500,5453800,2.9261644813568317,2.8819351419275643,55375,54538,-8.370000000000005,-0.044229339429267434,-1.511512415349888
332,Terepaima,Parque Nacional (PN),parque_nacional_(pn),1,Water,0.54,0.44,0.0054,0.0044,5400,4400,0.0029192155743394,0.0023786200976099,54,44,-0.10000000000000003,-0.0005405954767295001,-18.518518518518523
332,Terepaima,Parque Nacional (PN),parque_nacional_(pn),2,Trees,17197.71,15637.95,171.9771,156.3795,171977100,156379500,92.97004236106156,84.53805035322507,1719771,1563795,-1559.7599999999984,-8.431992007836485,-9.069579612634463
